OBJECTID,CSO_OUTFALLS,Shape__Area,Shape__Length
1,C01,194438.21484375,2126.27753441848
2,C02,29374.2109375,1098.71682425056
3,C04A,792822.6796875,6365.5724688073
4,C05,174191.640625,1911.19907958884
5,C06,705095.3828125,4072.31825378429
6,C07,298006.17578125,3223.19218651229
7,C09,495178.6953125,3757.35411087711
8,C10,15424.4140625,695.801237705401
9,C11,508764.671875,6176.31845044479
10,C11_CFRA,1946098.3515625,10113.2582147919
11,C12,386687.046875,3840.16471544192
12,C13,338524.04296875,2957.40420188755
13,C14,528713.28515625,3306.57383848289
14,C15,71654.2421875,1187.31267796926
15,C16,33606.96484375,710.557266219031
16,C17,3920866.21875,15254.7179807341
17,C17_CFRTR,3497900.7578125,11225.1189469811
18,C18,681891.53515625,5312.36834770771
19,C19,446111.92578125,4408.67452435315
20,C20,144903.2890625,2305.35298422918
21,C21,202826.8125,1948.66486390865
22,C22,407821.05078125,3813.46803531806
23,C23,12496.4453125,443.867379540969
24,C25,768286.98828125,5008.30881860129
25,C28A,128071.67578125,1456.47420349511
26,C29,207999.0078125,2329.52950628833
27,C30,138285.72265625,1834.65612238973
28,C31,278258.08203125,2944.77477011844
29,C32,426560.55859375,2779.32167274954
30,C33,216320.3125,1981.42907258666
31,C34,203639.421875,2532.4151779833
32,C35,75116.97265625,1469.68228461184
33,C36,98729.15234375,1363.9959738851
34,C37,87952.94140625,1357.56840243924
35,D02,2309515.12109375,8188.12444359808
36,D03,789984.06640625,5138.09725991893
37,D04,175514.3046875,2406.47633109747
38,D05,5307034.26953125,14971.2809584104
39,D05_D07,5288467.953125,16664.3390293823
40,D06,342279.1328125,2807.71285093228
41,D07,2634470.40625,8906.53481933302
42,D08,112331.3515625,1495.61230552178
43,D09,255216.70703125,2831.09675323817
44,D11,1329466.44921875,6872.87027377396
45,D12,111871.5234375,1579.18186677037
46,D13,321930.7578125,2672.44413717812
47,D15,652311.15234375,4630.00153666675
48,D17,1636661.9765625,11773.6327481887
49,D17_D19_D20_D21_D22,893418.6328125,4566.58698209908
50,D18,1227280.53515625,8348.30143911186
51,D19,435764.28125,5062.48090665053
52,D19_D20,785137.30859375,5725.57491043438
53,D19_D20_D21_D22,205441.921875,2506.55401318833
54,D20,424497.0703125,4255.40319935715
55,D21,611236.0859375,5011.77934102922
56,D21_D22,848299.29296875,5539.17740196868
57,D22,2380053.328125,14418.2589564487
58,D23,153627.66015625,2814.9397992056
59,D25,12162417.9921875,30650.1104002554
60,D25_SFRM,3876714.6328125,11414.2493082613
61,D37,682392.578125,6887.50886620642
62,D37_D38,4099807.93359375,15116.8962973623
63,D38,1065325.79296875,8334.80834388372
64,D39,2412109.93359375,15348.5743850661
65,D39_D44_D45,4493858.73828125,13579.4209969699
66,D39_D44_D45_SFRM,5096657.76171875,13006.4095085155
67,D40,315340.39453125,3831.74446727655
68,D41,417097.46484375,5802.28123861711
69,D42,86146.82421875,1584.46721388284
70,D43,74024.796875,1736.05660566472
71,D44,1037303.62890625,9160.8496972451
72,D44_D45,1023283.82421875,10058.1630568452
73,D45,6153504.7109375,18335.1831227067
74,D45_D47,451935.015625,3990.45710794182
75,D46,224271.27734375,3509.42690067146
76,D47,920101.03125,8833.91272767708
77,D48,3453472.7421875,15747.639129745
78,D49,52168.203125,1421.37394746621
79,D50,74375.1171875,1255.08300415377
80,D51_D51A,527330.859375,5795.24907961162
81,D52,98361.3359375,1554.92179492766
82,D53,1222830.17578125,9200.87026760176
83,D54,2932287.02734375,13375.748578378
84,D58,255639.6953125,3341.8576554154
85,D61,176863.59765625,2585.79127690847
86,D62,87716.6484375,2578.83597981656
87,D63,2815715.05078125,12552.2812485033
88,D64,88164.01953125,2013.35762445693
89,D65,1801648.8671875,9449.841024773
90,D66,1634739.98828125,13755.8435176791
91,D67,920947.8203125,8364.69658438064
92,D68,2997537.47265625,18777.2249097896
93,D69,1515641.35546875,13396.0766867231
94,D70,2343862.94921875,12815.7485235207
95,D71,1590904.03515625,9498.68730035217
96,D72,1238878.390625,9211.38020099001
97,D72_D73,1234287.25390625,5686.60405079825
98,D73,2542589.45703125,7744.27038594308
99,F03,902746.375,7489.72320022908
100,F04,1803893.75,8236.72862757896
101,F05,181713.6171875,2216.52163175975
102,F06_F09,307563.4375,3885.13708791734
103,F07,569116.265625,5245.42140812726
104,F08,393725.33203125,4618.4155203972
105,F09,28959.46875,756.973154658202
106,F10,471445.58203125,3079.90777953711
107,F11,2411366.75390625,9108.74738674101
108,F12,234009.546875,2258.71917890355
109,F13,479532.94140625,4850.2195455199
110,F21,6224048.09765625,20171.4375786434
111,F21_DFRW,11102623.3398438,20606.9201616379
112,F23,353098.39453125,3342.8198283426
113,F24,178589.44921875,2252.34222507746
114,F25,1685855.31640625,8116.46924549408
